#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
1,shopify.com,136069478,0.05859603,/Computers & Electronics/Enterprise Technology,Computers & Electronics,Enterprise Technology,
318,cdn77.org,498172,0.0002145294,/Home & Garden/Domestic Services/Cleaning Services,Home & Garden,Domestic Services,Cleaning Services
319,docplayer.net,497921,0.0002144213,/Business & Industrial,Business & Industrial,,
320,leadongcdn.com,496571,0.00021383995,,,,
321,insider.com,495782,0.00021350019,/News/Politics,News,Politics,
322,productserve.com,495237,0.0002132655,/Business & Industrial/Business Services,Business & Industrial,Business Services,
323,diytrade.com,494553,0.00021297093,/Business & Industrial,Business & Industrial,,
324,flixcart.com,488415,0.00021032771,,,,
325,huffingtonpost.com,488199,0.00021023469,/News,News,,
326,justjared.com,486955,0.000209699,/News,News,,
327,hearstapps.com,486699,0.00020958874,,,,
328,belfasttelegraph.co.uk,484145,0.0002084889,/News,News,,
329,lowes.com,482007,0.00020756822,/Home & Garden,Home & Garden,,
330,imagekind.com,481217,0.00020722803,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
331,ldycdn.com,480811,0.00020705318,,,,
332,wheretoget.it,476220,0.00020507613,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
333,propertiescdn.com,475767,0.00020488106,,,,
334,thejournal.ie,473695,0.0002039888,/News/Politics,News,Politics,
335,bwbcovers.com,467595,0.00020136192,,,,
336,wisefamousquotes.com,467049,0.0002011268,/Books & Literature,Books & Literature,,
337,moluna.de,465260,0.0002003564,/Arts & Entertainment,Arts & Entertainment,,
338,create-cdn.net,464058,0.00019983876,,,,
339,dealersolutions.com.au,464051,0.00019983577,/Autos & Vehicles/Vehicle Parts & Services,Autos & Vehicles,Vehicle Parts & Services,
340,archant.co.uk,457584,0.00019705087,/Business & Industrial,Business & Industrial,,
341,chictopia.com,452327,0.00019478701,/Beauty & Fitness/Fashion & Style,Beauty & Fitness,Fashion & Style,
342,zimbio.com,451097,0.00019425735,/Arts & Entertainment/Celebrities & Entertainment News,Arts & Entertainment,Celebrities & Entertainment News,
343,newsday.com,450168,0.00019385729,/News,News,,
344,burberry.com,447342,0.00019264031,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
345,notonthehighstreet.com,444933,0.00019160291,/Hobbies & Leisure/Special Occasions,Hobbies & Leisure,Special Occasions,
346,autotraderspecialty.com,444262,0.00019131396,,,,
347,leaddelivery.net,443541,0.00019100348,,,,
348,32pt.com,443368,0.00019092897,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
349,awsli.com.br,441074,0.0001899411,,,,
350,hubstatic.com,440445,0.00018967023,/Arts & Entertainment,Arts & Entertainment,,
351,imagecollect.com,438914,0.00018901095,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
352,moviepostershop.com,437837,0.00018854715,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
353,365dm.com,437004,0.00018818842,,,,
354,shop.UNKNOWN-SUFFIX,436959,0.00018816905,,,,
355,go.com,436861,0.00018812684,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
356,saymedia-content.com,432330,0.00018617565,,,,
357,thredup.com,431715,0.0001859108,/Shopping/Apparel,Shopping,Apparel,
358,shoptiques.com,430583,0.00018542333,/Shopping/Apparel,Shopping,Apparel,
359,pearltrees.com,430274,0.00018529026,/Home & Garden,Home & Garden,,
360,weserv.nl,429186,0.00018482173,,,,
361,arcpublishing.com,426997,0.00018387908,/Business & Industrial,Business & Industrial,,
362,w3techs.com,425325,0.00018315906,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
363,fashiola.com,425315,0.00018315475,/Shopping/Apparel/Women's Clothing,Shopping,Apparel,Women's Clothing
364,booktopia.com.au,423326,0.00018229824,/Books & Literature,Books & Literature,,
365,assetsdelivery.com,422852,0.0001820941,,,,
366,viator.com,421475,0.00018150112,/Travel,Travel,,
367,penguinrandomhouse.com,420577,0.00018111441,/Books & Literature,Books & Literature,,
368,imgflip.com,420488,0.00018107608,/Arts & Entertainment/Humor/Funny Pictures & Videos,Arts & Entertainment,Humor,Funny Pictures & Videos
369,cannypic.com,420437,0.00018105414,/Arts & Entertainment,Arts & Entertainment,,
370,twinkl.co.uk,418062,0.00018003138,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
371,renthop.com,416001,0.00017914385,/Real Estate/Real Estate Listings/Residential Rentals,Real Estate,Real Estate Listings,Residential Rentals
372,china-cart.com,413817,0.00017820334,/Shopping/Apparel/Costumes,Shopping,Apparel,Costumes
373,powells.com,413423,0.00017803365,/Books & Literature,Books & Literature,,
374,hrsstatic.com,413397,0.00017802248,,,,
375,bonhams.com,409536,0.0001763598,/Shopping/Auctions,Shopping,Auctions,
376,straitstimes.com.sg,407917,0.0001756626,/News,News,,
377,unsplash.com,407146,0.00017533058,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
378,burrillandco.com,407038,0.00017528407,,,,
379,gbtcdn.com,406272,0.00017495422,,,,
380,hindustantimes.com,404435,0.00017416313,/News,News,,
381,7static.com,404167,0.00017404772,/Computers & Electronics/Software,Computers & Electronics,Software,
382,slideplayer.org,404115,0.00017402533,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
383,stockfreeimages.com,403957,0.0001739573,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
384,cat5.com,403776,0.00017387936,/Business & Industrial,Business & Industrial,,
385,turner.com,402273,0.0001732321,/Arts & Entertainment/TV & Video,Arts & Entertainment,TV & Video,
386,si.com,401793,0.0001730254,/News/Sports News,News,Sports News,
387,reutersmedia.net,401412,0.00017286133,,,,
388,oclc.org,401165,0.00017275497,/Reference/Libraries & Museums,Reference,Libraries & Museums,
389,dhstatics.com,398307,0.00017152421,,,,
390,jetphotos.com,398249,0.00017149923,/Business & Industrial/Transportation & Logistics,Business & Industrial,Transportation & Logistics,
391,shop-pro.jp,395823,0.00017045453,/Business & Industrial,Business & Industrial,,
392,fbcdn.net,395527,0.00017032705,/Online Communities/Social Networks,Online Communities,Social Networks,
393,comc.com,394154,0.0001697358,/Sports/Team Sports/Baseball,Sports,Team Sports,Baseball
394,catawiki.nl,392547,0.00016904376,/Shopping/Auctions,Shopping,Auctions,
395,ndtvimg.com,392255,0.00016891802,,,,
396,f-cdn.com,391045,0.00016839696,,,,
397,dhgate.com,390150,0.00016801154,/Shopping/Apparel,Shopping,Apparel,
398,imageflux.jp,388717,0.00016739443,,,,
399,internetstores.de,388401,0.00016725836,/Sports/Individual Sports/Cycling,Sports,Individual Sports,Cycling
400,grellyimg.com,384062,0.00016538985,,,,
401,shopclues.com,382581,0.00016475208,/Shopping,Shopping,,
402,foyles.co.uk,381690,0.00016436838,/Books & Literature,Books & Literature,,
403,r10s.jp,380507,0.00016385894,/Arts & Entertainment,Arts & Entertainment,,
404,infourok.ru,380498,0.00016385507,/Jobs & Education/Education/Training & Certification,Jobs & Education,Education,Training & Certification
405,ffx.io,380261,0.00016375301,/Games/Computer & Video Games,Games,Computer & Video Games,
406,eurobuch.com,379578,0.00016345888,/Books & Literature,Books & Literature,,
407,chrono24.com,378452,0.000162974,/Shopping/Apparel/Clothing Accessories,Shopping,Apparel,Clothing Accessories
408,okorder.com,377875,0.0001627255,/Business & Industrial/Industrial Materials & Equipment,Business & Industrial,Industrial Materials & Equipment,
409,newsok.biz,377549,0.00016258514,,,,
410,imagekit.io,375859,0.00016185736,/Online Communities/Photo & Video Sharing/Photo & Image Sharing,Online Communities,Photo & Video Sharing,Photo & Image Sharing
411,lightingnewyork.com,375441,0.00016167736,/Home & Garden/Home Furnishings/Lamps & Lighting,Home & Garden,Home Furnishings,Lamps & Lighting
412,domainstatic.com.au,374220,0.00016115155,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
413,architonic.com,374087,0.0001610943,/Arts & Entertainment/Visual Art & Design/Architecture,Arts & Entertainment,Visual Art & Design,Architecture
414,abbreviations.com,373022,0.00016063565,/Reference/Language Resources,Reference,Language Resources,
415,rmbl.ws,371935,0.00016016755,/Law & Government/Legal,Law & Government,Legal,
416,redblue.de,371316,0.000159901,,,,
417,very.co.uk,370807,0.00015968181,/Shopping/Apparel/Women's Clothing,Shopping,Apparel,Women's Clothing
418,zcache.co.nz,370089,0.00015937261,,,,
419,6pm.com,369898,0.00015929036,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
420,xvideos-cdn.com,369567,0.00015914783,,,,
421,pcdn.co,369539,0.00015913576,/Health,Health,,
422,myonlinestore.eu,368629,0.0001587439,/People & Society,People & Society,,
423,stackpathdns.com,367690,0.00015833952,,,,
424,raxcdn.com,365949,0.0001575898,,,,
425,template.net,365738,0.00015749892,/Reference/General Reference/Forms Guides & Templates,Reference,General Reference,Forms Guides & Templates
426,newsserve.net,365230,0.00015728015,/News,News,,
427,e-yearbook.com,365090,0.00015721986,/Jobs & Education/Education,Jobs & Education,Education,
428,ellingtoncms.com,365038,0.00015719749,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
429,stylebistro.com,364680,0.0001570433,/News,News,,
430,bergdorfgoodman.com,364315,0.00015688613,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
431,defense.gov,364287,0.00015687406,/Law & Government/Military,Law & Government,Military,
432,upi.com,363576,0.0001565679,/News,News,,
433,panthermedia.net,363085,0.00015635645,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
434,yayimages.com,362535,0.000156119615,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
435,wook.pt,359754,0.00015492202,/Books & Literature,Books & Literature,,
436,slideteam.net,359243,0.000154701965,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
437,plentymarkets.com,357815,0.00015408701,/Computers & Electronics/Enterprise Technology,Computers & Electronics,Enterprise Technology,
438,prweb.com,356095,0.00015334632,/Business & Industrial/Business Services,Business & Industrial,Business Services,
439,ehowcdn.com,355147,0.00015293809,,,,
440,myshoptet.com,352843,0.0001519459,/Business & Industrial,Business & Industrial,,
441,publicbroadcasting.net,351814,0.00015150279,/Arts & Entertainment,Arts & Entertainment,,
442,tcdn.com.br,351177,0.00015122847,,,,
443,izismile.com,350290,0.0001508465,/Arts & Entertainment/Humor/Funny Pictures & Videos,Arts & Entertainment,Humor,Funny Pictures & Videos
444,sarenza.net,349126,0.00015034524,,,,
445,indianexpress.com,348681,0.00015015362,/News,News,,
446,littlewoods.com,345639,0.00014884362,/Shopping/Apparel/Children's Clothing,Shopping,Apparel,Children's Clothing
447,vteximg.com.br,344182,0.00014821619,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
448,cbsistatic.com,343761,0.00014803491,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
449,sdlcdn.com,343652,0.00014798796,,,,
450,zappos.com,343470,0.00014790958,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
451,indianauto.com,341622,0.00014711376,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
452,hawtcelebs.com,341318,0.00014698286,/News,News,,
453,fbcd.co,340857,0.00014678434,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
454,picturequotes.com,340663,0.0001467008,/Reference/General Reference/Biographies & Quotations,Reference,General Reference,Biographies & Quotations
455,s-nbcnews.com,340631,0.00014668701,/Arts & Entertainment,Arts & Entertainment,,
456,prom.st,339444,0.00014617585,,,,
457,zafcdn.com,338725,0.00014586623,,,,
458,yoybuy.com,338412,0.00014573144,/Shopping/Apparel,Shopping,Apparel,
459,def-shop.com,337624,0.0001453921,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop,Arts & Entertainment,Music & Audio,Urban & Hip-Hop
460,slidetodoc.com,337401,0.00014529607,/Computers & Electronics/Software,Computers & Electronics,Software,
461,ecplaza.com,336419,0.0001448732,/Business & Industrial,Business & Industrial,,
462,anobii.com,335811,0.00014461136,/Books & Literature,Books & Literature,,
463,platekompaniet.no,335345,0.00014441069,/Business & Industrial,Business & Industrial,,
464,cinematerial.com,334948,0.00014423973,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
465,mozu.com,334858,0.00014420097,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
466,tandf.co.uk,333411,0.00014357784,/People & Society,People & Society,,
467,phrmg.org,333219,0.00014349516,/Business & Industrial/Industrial Materials & Equipment,Business & Industrial,Industrial Materials & Equipment,
468,ctvnews.ca,332987,0.00014339525,/News,News,,
469,kelkoo.com,332457,0.00014316702,/Shopping,Shopping,,
470,kogan.com,331832,0.00014289787,/Home & Garden,Home & Garden,,
471,guitarcenter.com,330928,0.00014250858,/Arts & Entertainment/Music & Audio/Music Equipment & Technology,Arts & Entertainment,Music & Audio,Music Equipment & Technology
472,flipboard.com,330414,0.00014228723,/People & Society,People & Society,,
473,npr.org,329756,0.000142003875,/Arts & Entertainment/Music & Audio/Radio,Arts & Entertainment,Music & Audio,Radio
474,seattletimes.com,328431,0.00014143329,/News,News,,
475,hautelookcdn.com,326736,0.00014070337,,,,
476,canalblog.com,326715,0.00014069432,/Online Communities,Online Communities,,
477,wlimg.com,325341,0.00014010264,,,,
478,paytm.com,324519,0.00013974865,/Internet & Telecom/Service Providers,Internet & Telecom,Service Providers,
479,slideplayer.info,324438,0.00013971377,/Online Communities,Online Communities,,
480,robertharding.com,324030,0.00013953807,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
481,geccdn.net,323830,0.00013945195,,,,
482,westend61.de,323288,0.00013921854,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
483,worthpoint.com,323247,0.00013920088,/Shopping/Antiques & Collectibles,Shopping,Antiques & Collectibles,
484,next.co.uk,322010,0.00013866819,/Shopping/Apparel/Children's Clothing,Shopping,Apparel,Children's Clothing
485,cfdreview.com,321504,0.0001384503,,,,
486,textbookrush.com,320901,0.00013819062,/Jobs & Education/Education,Jobs & Education,Education,
487,fishpond.com.au,320579,0.00013805196,/Shopping/Entertainment Media,Shopping,Entertainment Media,
488,scrapbook.com,319919,0.00013776774,/Hobbies & Leisure/Crafts,Hobbies & Leisure,Crafts,
489,cdntwrk.com,319462,0.00013757094,/Computers & Electronics/Software/Multimedia Software,Computers & Electronics,Software,Multimedia Software
490,cutcaster.com,319052,0.00013739438,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
491,houseplansservices.com,318832,0.00013729965,/Computers & Electronics/Consumer Electronics/Game Systems & Consoles,Computers & Electronics,Consumer Electronics,Game Systems & Consoles
492,trendhunterstatic.com,315761,0.000135977175,,,,
493,mashable.com,314755,0.00013554394,/Business & Industrial,Business & Industrial,,
494,musiciansfriend.com,314739,0.00013553706,/Arts & Entertainment/Music & Audio/Music Equipment & Technology,Arts & Entertainment,Music & Audio,Music Equipment & Technology
495,rovicorp.com,314698,0.00013551941,/Computers & Electronics/Consumer Electronics/TV & Video Equipment,Computers & Electronics,Consumer Electronics,TV & Video Equipment
496,stpost.com,314605,0.00013547935,,,,
497,ec21.com,314138,0.000135278255,/Business & Industrial,Business & Industrial,,
498,folksy.com,313993,0.00013521582,/Hobbies & Leisure/Crafts,Hobbies & Leisure,Crafts,
499,pbase.com,311970,0.00013434463,/Online Communities,Online Communities,,
500,amazon.com,311590,0.000134181,/Shopping,Shopping,,
