#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
317,alumnius.net,304390,0.00023935607,/Jobs & Education/Education,Jobs & Education,Education,
318,dhstatics.com,304243,0.00023924049,,,,
319,onthemarket.com,304194,0.00023920195,/Real Estate/Real Estate Listings/Residential Sales,Real Estate,Real Estate Listings,Residential Sales
320,trvl-media.com,302668,0.00023800198,,,,
321,redcart.pl,302566,0.00023792177,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
322,yellow.place,302395,0.00023778731,/Reference/Directories & Listings/Business & Personal Listings,Reference,Directories & Listings,Business & Personal Listings
323,mycdn.me,300285,0.00023612812,/Arts & Entertainment,Arts & Entertainment,,
324,thpservices.com,298471,0.00023470169,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
325,envatousercontent.com,297345,0.00023381626,,,,
326,productserve.com,296982,0.00023353083,/Business & Industrial/Business Services,Business & Industrial,Business Services,
327,catawiki.nl,295841,0.0002326336,/Shopping/Auctions,Shopping,Auctions,
328,feedbooks.net,291469,0.0002291957,,,,
329,nigeriapropertycentre.com,290674,0.00022857055,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
330,envato.com,289949,0.00022800043,/Business & Industrial,Business & Industrial,,
331,lnwfile.com,288274,0.0002266833,,,,
332,adis.ws,286951,0.00022564298,,,,
333,hearstapps.com,284879,0.00022401366,,,,
334,shop-pro.jp,284178,0.00022346243,/Business & Industrial,Business & Industrial,,
335,npcdn.net,283972,0.00022330046,,,,
336,farpost.ru,283880,0.0002232281,/Law & Government,Law & Government,,
337,cdn.tf,283464,0.00022290098,,,,
338,yelpcdn.com,281987,0.00022173956,,,,
339,fotocommunity.com,281801,0.00022159329,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
340,32pt.com,281016,0.000220976,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
341,staples-3p.com,280964,0.00022093512,,,,
342,heritagestatic.com,278144,0.0002187176,,,,
343,riastatic.com,277595,0.00021828592,,,,
344,cyverse.org,274490,0.0002158443,/Science/Biological Sciences,Science,Biological Sciences,
345,olcsobbat.hu,274461,0.0002158215,/Shopping,Shopping,,
346,similarcdn.com,274172,0.00021559425,,,,
347,bmstatic.com,273887,0.00021537013,,,,
348,touristlink.com,272616,0.0002143707,/Travel,Travel,,
349,thedomainfo.com,270619,0.00021280035,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
350,ekladata.com,270476,0.0002126879,/Online Communities,Online Communities,,
351,2img.net,269817,0.0002121697,/Internet & Telecom,Internet & Telecom,,
352,dailymail.co.uk,268420,0.00021107119,/News,News,,
353,offtek.co.uk,267786,0.00021057265,/Computers & Electronics/Computer Hardware/Computer Drives & Storage,Computers & Electronics,Computer Hardware,Computer Drives & Storage
354,cloudimg.io,267547,0.0002103847,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts
355,seloger.com,266888,0.0002098665,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
356,clipground.com,265102,0.00020846209,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
357,creativemarket.com,264031,0.0002076199,/Computers & Electronics/Software/Multimedia Software,Computers & Electronics,Software,Multimedia Software
358,cgtrader.com,263951,0.00020755699,/Science/Engineering & Technology,Science,Engineering & Technology,
359,hotellook.com,263478,0.00020718506,/Travel/Hotels & Accommodations,Travel,Hotels & Accommodations,
360,thcdn.com,262480,0.00020640027,/Arts & Entertainment,Arts & Entertainment,,
361,tstatic.net,262371,0.00020631457,/News,News,,
362,yoox.biz,259764,0.00020426456,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
363,edgecastcdn.net,258012,0.00020288689,,,,
364,r9cdn.net,256465,0.00020167042,/Travel/Air Travel,Travel,Air Travel,
365,travelapi.com,255873,0.00020120488,,,,
366,cat5.com,253746,0.00019953232,/Business & Industrial,Business & Industrial,,
367,internetstores.de,253227,0.00019912422,/Sports/Individual Sports/Cycling,Sports,Individual Sports,Cycling
368,gestionaleauto.com,253093,0.00019901885,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
369,fkimg.com,252636,0.00019865949,/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,Travel,Hotels & Accommodations,Vacation Rentals & Short-Term Stays
370,seesaa.net,252268,0.0001983701,/News,News,,
371,slideplayer.nl,251261,0.00019757826,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
372,alibris-static.com,250729,0.00019715993,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
373,fotokto.ru,250617,0.00019707186,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
374,dealeraccelerate.com,250008,0.00019659298,/Autos & Vehicles,Autos & Vehicles,,
375,adlibris.com,249811,0.00019643806,/Books & Literature,Books & Literature,,
376,travelminit.com,249038,0.00019583022,/Travel/Hotels & Accommodations,Travel,Hotels & Accommodations,
377,edealer.ca,248625,0.00019550545,/Business & Industrial/Business Services,Business & Industrial,Business Services,
378,amcdn.co.za,248559,0.00019545356,,,,
379,ikea.com,248337,0.00019527897,/Home & Garden/Home Furnishings,Home & Garden,Home Furnishings,
380,fctables.com,248262,0.00019522002,/Sports/Team Sports/Soccer,Sports,Team Sports,Soccer
381,imgur.com,247570,0.00019467585,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
382,cheatsheet.com,247313,0.00019447375,/News,News,,
383,fkcdn.com,246078,0.00019350262,,,,
384,homeaway.com,245515,0.00019305991,/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,Travel,Hotels & Accommodations,Vacation Rentals & Short-Term Stays
385,rovicorp.com,244979,0.00019263843,/Computers & Electronics/Consumer Electronics/TV & Video Equipment,Computers & Electronics,Consumer Electronics,TV & Video Equipment
386,kfs.io,243699,0.0001916319,/Games/Computer & Video Games,Games,Computer & Video Games,
387,rocketcdn.me,242825,0.00019094463,/Arts & Entertainment,Arts & Entertainment,,
388,re-in.de,242094,0.00019036982,/Computers & Electronics/Computer Security,Computers & Electronics,Computer Security,
389,guim.co.uk,242080,0.00019035881,/Arts & Entertainment,Arts & Entertainment,,
390,weserv.nl,240878,0.00018941361,,,,
391,unsplash.com,239855,0.0001886092,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
392,wikihow.com,239183,0.00018808076,/Reference/General Reference,Reference,General Reference,
393,slideplayer.cz,237424,0.00018669758,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
394,moluna.de,235687,0.0001853317,/Arts & Entertainment,Arts & Entertainment,,
395,buecher.de,235335,0.0001850549,/Beauty & Fitness,Beauty & Fitness,,
396,medium.com,235110,0.00018487798,/People & Society,People & Society,,
397,contactmusic.com,233819,0.0001838628,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
398,otto.de,233247,0.00018341301,/Shopping,Shopping,,
399,jwwb.nl,232659,0.00018295065,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
400,ozone.ru,232295,0.00018266441,,,,
401,saxo.com,232100,0.00018251106,/Sports/Individual Sports/Cycling,Sports,Individual Sports,Cycling
402,wook.pt,231367,0.00018193468,/Books & Literature,Books & Literature,,
403,travelatacdn.ru,230920,0.00018158318,,,,
404,semrush.com,230269,0.00018107127,/Business & Industrial/Business Services,Business & Industrial,Business Services,
405,biggo.com.tw,229347,0.00018034626,/Shopping/Consumer Resources/Product Reviews & Price Comparisons,Shopping,Consumer Resources,Product Reviews & Price Comparisons
406,livejournal.com,226938,0.00017845195,/Online Communities/Blogging Resources & Services,Online Communities,Blogging Resources & Services,
407,panthermedia.net,226309,0.00017795734,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
408,waterstones.com,225321,0.00017718043,/Books & Literature,Books & Literature,,
409,crmls.org,224796,0.0001767676,/Real Estate,Real Estate,,
410,neuvoo.com,223656,0.00017587116,/Jobs & Education/Jobs/Job Listings,Jobs & Education,Jobs,Job Listings
411,stat01.com,223578,0.00017580982,,,,
412,adidas.com,223367,0.0001756439,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
413,blogs.es,222217,0.0001747396,/Online Communities,Online Communities,,
414,gaiaonline.com,222205,0.00017473018,/Online Communities/Virtual Worlds,Online Communities,Virtual Worlds,
415,line-scdn.net,222036,0.00017459728,/Arts & Entertainment,Arts & Entertainment,,
416,spartoo.com,220960,0.00017375117,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
417,webfronts.com,218752,0.0001720149,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
418,pegipegi.com,218602,0.00017189696,/Travel/Hotels & Accommodations,Travel,Hotels & Accommodations,
419,easttexasradio.com,218292,0.0001716532,/Sports,Sports,,
420,gtavicecity.ru,218014,0.00017143458,/Games/Computer & Video Games,Games,Computer & Video Games,
421,invaluable.com,217531,0.00017105479,/Shopping/Auctions,Shopping,Auctions,
422,aliyuncs.com,215714,0.000169626,,,,
423,dvipcdn.com,215382,0.00016936492,,,,
424,wheretoget.it,214927,0.00016900714,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
425,paperblog.com,213975,0.00016825855,/Internet & Telecom/Email & Messaging,Internet & Telecom,Email & Messaging,
426,momoshop.com.tw,213407,0.00016781189,/Health/Oral & Dental Care,Health,Oral & Dental Care,
427,quotesgram.com,212880,0.00016739748,/Books & Literature,Books & Literature,,
428,archive.org,212727,0.00016727718,/Business & Industrial,Business & Industrial,,
429,lmcdn.ru,211971,0.0001666827,,,,
430,ning.com,210659,0.00016565101,/Online Communities,Online Communities,,
431,homedepot-static.com,210615,0.0001656164,,,,
432,ohmyprints.net,209679,0.00016488038,,,,
433,di-static.com,209649,0.0001648568,,,,
434,theurge.com,209563,0.00016478918,,,,
435,express.co.uk,208775,0.00016416952,/News,News,,
436,yatego.com,208091,0.00016363168,/Shopping,Shopping,,
437,poliris.com,207444,0.00016312292,,,,
438,offers.gallery,206974,0.00016275331,,,,
439,c-ctrip.com,206833,0.00016264245,/Travel/Air Travel,Travel,Air Travel,
440,brightspotcdn.com,206007,0.00016199293,,,,
441,shoptiques.com,205743,0.00016178533,/Shopping/Apparel,Shopping,Apparel,
442,shopserve.jp,205414,0.00016152663,/Business & Industrial,Business & Industrial,,
443,ibs.it,203252,0.00015982654,/Books & Literature,Books & Literature,,
444,cults3d.com,201157,0.00015817914,/Computers & Electronics/Computer Hardware/Computer Peripherals,Computers & Electronics,Computer Hardware,Computer Peripherals
445,amplience.net,200649,0.00015777968,,,,
446,chem17.com,199875,0.00015717104,,,,
447,jijistatic.com,198466,0.00015606309,,,,
448,bfgcdn.com,197987,0.00015568643,/Hobbies & Leisure/Outdoors/Hiking & Camping,Hobbies & Leisure,Outdoors,Hiking & Camping
449,static-homes.com,197627,0.00015540333,,,,
450,guitarcenter.com,197389,0.00015521619,/Arts & Entertainment/Music & Audio/Music Equipment & Technology,Arts & Entertainment,Music & Audio,Music Equipment & Technology
451,goo-net.com,196642,0.00015462878,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
452,cinematerial.com,196390,0.00015443062,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
453,mktgcdn.com,196133,0.00015422853,,,,
454,f-cdn.com,195757,0.00015393287,,,,
455,jetphotos.com,195254,0.00015353735,/Business & Industrial/Transportation & Logistics,Business & Industrial,Transportation & Logistics,
456,dealercarsearch.com,195189,0.00015348623,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
457,indotrading.com,194617,0.00015303643,/Business & Industrial/Business Services,Business & Industrial,Business Services,
458,airplane-pictures.net,193387,0.00015206923,/Business & Industrial/Transportation & Logistics,Business & Industrial,Transportation & Logistics,
459,fbcd.co,192469,0.00015134737,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
460,latostadora.com,192364,0.0001512648,/Shopping/Apparel,Shopping,Apparel,
461,fishpond.com.au,192210,0.0001511437,/Shopping/Entertainment Media,Shopping,Entertainment Media,
462,bezformata.com,190804,0.00015003811,/Shopping/Apparel,Shopping,Apparel,
463,garmentory.com,190649,0.000149916215,/Shopping/Apparel,Shopping,Apparel,
464,paytm.com,190053,0.00014944755,/Internet & Telecom/Service Providers,Internet & Telecom,Service Providers,
465,ssstatic.com,190043,0.000149439685,,,,
466,instructables.com,189806,0.00014925332,/Reference/General Reference,Reference,General Reference,
467,spartoo.de,189460,0.00014898124,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
468,scoop.it,189318,0.000148869585,/Business & Industrial,Business & Industrial,,
469,edgesuite.net,187322,0.00014730005,/Home & Garden,Home & Garden,,
470,kompas.com,186650,0.0001467716,/News,News,,
471,accessify.com,185899,0.00014618106,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
472,insider.com,185743,0.00014605841,/News/Politics,News,Politics,
473,nike.com,185367,0.00014576274,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
474,slideplayer.biz.tr,185307,0.00014571555,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
475,very.co.uk,185194,0.00014562669,/Shopping/Apparel/Women's Clothing,Shopping,Apparel,Women's Clothing
476,anobii.com,185096,0.000145549625,/Books & Literature,Books & Literature,,
477,spartoo.es,184477,0.00014506288,/Shopping/Apparel/Footwear,Shopping,Apparel,Footwear
478,autotraderspecialty.com,184250,0.00014488438,,,,
479,dunyabulteni.net,183762,0.00014450065,/News,News,,
480,domainstatic.com.au,183621,0.000144389765,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
481,getdrawings.com,183607,0.00014437877,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
482,xvideos-cdn.com,182824,0.00014376306,,,,
483,discogs.com,181637,0.00014282965,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
484,comc.com,180337,0.00014180741,/Sports/Team Sports/Baseball,Sports,Team Sports,Baseball
485,zcache.de,180314,0.00014178932,,,,
486,iclipart.com,180224,0.000141718555,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
487,lori-images.net,179840,0.00014141659,,,,
488,statically.io,179791,0.00014137805,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
489,zafcdn.com,179496,0.00014114608,,,,
490,liveauctiongroup.net,179401,0.00014107139,,,,
491,practicaldatacore.com,178993,0.00014075057,,,,
492,bhphoto.com,178903,0.00014067979,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts
493,zankyou.com,178798,0.000140597215,/Hobbies & Leisure/Special Occasions/Weddings,Hobbies & Leisure,Special Occasions,Weddings
494,r10s.com,178478,0.00014034558,,,,
495,trademarkia.com,177968,0.00013994454,/Law & Government/Legal,Law & Government,Legal,
496,afy.ru,177123,0.00013928009,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
497,newspaperarchive.com,176951,0.00013914483,/News,News,,
498,indianauto.com,175516,0.00013801644,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
499,mlcdn.com.br,174527,0.000137238735,,,,
500,kogan.com,174286,0.00013704922,/Home & Garden,Home & Garden,,
